dev_eui,created_at,temperature_c,humidity,co2,pressure,smoke_detected
"0025CA0000000F49","2025-11-07 16:02:41","3.39","86.79","f","f","f"
"0025CA0000000F49","2025-11-07 16:02:28","3.39","86.79","f","f","f"
"0025CA0000000F49","2025-11-07 15:52:18","4.31","70.74","f","f","f"
"0025CA0000000F49","2025-11-07 15:42:07","8.05","66.62","f","f","f"
"0025CA0000000F49","2025-11-07 15:32:16","20.19","38","f","f","f"
"0025CA0000000F49","2025-11-07 15:32:09","20.19","38","f","f","f"
"0025CA0000000F49","2025-11-07 15:32:03","20.19","38","f","f","f"
"0025CA0000000F49","2025-11-07 15:31:56","20.19","38","f","f","f"
"0025CA0000000F49","2025-11-07 15:21:46","24.85","56.79","f","f","f"
"0025CA0000000F49","2025-11-07 15:11:55","23.38","70.09","f","f","f"
"0025CA0000000F49","2025-11-07 15:11:49","23.38","70.09","f","f","f"
"0025CA0000000F49","2025-11-07 15:11:42","23.38","70.09","f","f","f"
"0025CA0000000F49","2025-11-07 15:11:35","23.38","70.09","f","f","f"
"0025CA0000000F49","2025-11-07 15:01:18","22.47","79.16","f","f","f"
"0025CA0000000F49","2025-11-07 14:50:59","19.65","99.56","f","f","f"
"0025CA0000000F49","2025-11-07 14:49:51","18.99","100","f","f","f"
"0025CA0000000F49","2025-11-07 14:48:37","18.22","100","f","f","f"
"0025CA0000000F49","2025-11-06 09:20:51","4.18","100","f","f","f"
"0025CA0000000F49","2025-11-06 09:10:47","2.37","100","f","f","f"
"0025CA0000000F49","2025-11-06 09:01:01","0.09","91.8","f","f","f"
"0025CA0000000F49","2025-11-06 09:00:55","0.09","91.8","f","f","f"
"0025CA0000000F49","2025-11-06 09:00:48","0.09","91.8","f","f","f"
"0025CA0000000F49","2025-11-06 09:00:42","0.09","91.8","f","f","f"
"0025CA0000000F49","2025-11-06 08:50:37","3.53","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:41:17","0.67","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:41:02","0.67","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:40:46","0.67","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:40:39","0.67","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:30:32","2.57","93.98","f","f","f"
"0025CA0000000F49","2025-11-06 08:30:27","2.57","93.98","f","f","f"
